,InvoiceNo,StockCode,Quantity,UnitPrice,CustomerID,Country,Product Type,Colour_type,Revenue,Cluster number,Year,Month,Day,DayOfWeek
30374,1018,2277,6.0,4.25,997,25,0,7,4.25,0,2010,12,14,2
26561,888,1611,1.0,8.5,1228,25,2151,3,8.5,2,2010,12,12,0
73901,2254,2107,1.0,3.75,1363,25,0,7,3.75,0,2011,1,27,4
55313,1749,2189,16.0,0.65,686,25,903,7,0.65,0,2011,1,12,3
49769,1607,574,1.0,4.95,961,25,1267,7,4.95,1,2011,1,9,0
77238,2364,1050,3.0,1.25,932,25,853,7,1.25,1,2011,1,31,1
7814,332,1063,5.0,0.85,702,25,2064,7,0.85,2,2010,12,5,0
59941,1901,2085,4.0,1.25,857,25,992,7,1.25,0,2011,1,17,1
23199,786,1278,12.0,1.65,1300,25,1397,7,1.65,2,2010,12,10,5
33298,1161,216,1.0,1.95,527,25,197,7,1.95,1,2010,12,16,4
20445,728,2047,24.0,3.39,817,25,2107,7,3.39,2,2010,12,9,4
56271,1782,171,6.0,2.55,430,25,1405,1,2.55,1,2011,1,13,4
43353,1421,1804,24.0,1.25,1326,25,993,7,1.25,0,2011,1,4,2
3408,145,1329,12.0,1.45,269,25,1514,7,1.45,2,2010,12,2,4
12767,470,782,2.0,1.25,704,25,1076,7,1.25,2,2010,12,6,1
17860,617,478,1.0,5.45,1158,25,292,7,5.45,2,2010,12,8,3
39673,1343,1451,20.0,1.25,625,25,171,1,1.25,0,2010,12,21,2
12931,474,1586,24.0,0.42,1118,25,318,7,0.42,2,2010,12,6,1
14230,509,2365,4.0,1.25,863,25,1768,11,1.25,2,2010,12,7,2
26453,884,1673,4.0,0.85,724,25,2145,7,0.85,2,2010,12,12,0
68411,2064,852,24.0,0.29,944,25,999,7,0.29,1,2011,1,24,1
8301,349,276,2.0,2.95,1368,25,1760,11,2.95,2,2010,12,5,0
41700,1392,1383,2.0,14.95,62,9,553,7,14.95,0,2010,12,23,4
45772,1499,2030,1.0,0.55,787,25,109,7,0.55,0,2011,1,6,4
7678,326,525,2.0,2.95,581,25,2065,7,2.95,2,2010,12,5,0
16264,556,603,1.0,2.95,1220,25,1188,7,2.95,2,2010,12,7,2
14207,508,1632,12.0,2.1,1261,25,959,7,2.1,2,2010,12,7,2
45600,1492,558,25.0,0.42,274,25,1603,9,0.42,1,2011,1,6,4
76475,2333,829,5.0,2.95,99,9,1747,11,2.95,1,2011,1,31,1
56829,1793,764,12.0,2.95,60,13,1741,11,2.95,1,2011,1,13,4
12081,443,352,12.0,1.95,638,25,522,7,1.95,2,2010,12,6,1
41342,1376,1213,1.0,12.75,527,25,1710,7,12.75,1,2010,12,22,3
9978,400,2244,2.0,6.35,224,25,2224,1,6.35,2,2010,12,5,0
49869,1611,812,3.0,1.25,1266,25,169,1,1.25,1,2011,1,9,0
59956,2864,1577,-12.0,2.55,360,25,1816,7,2.55,0,2011,1,17,1
23397,799,1312,5.0,0.42,397,25,1915,7,0.42,2,2010,12,10,5
14039,496,1632,12.0,2.1,1343,25,959,7,2.1,2,2010,12,7,2
73140,2228,1406,12.0,1.95,51,22,1942,7,1.95,0,2011,1,27,4
69426,2092,1618,4.0,4.25,657,25,638,3,4.25,0,2011,1,24,1
5147,257,1547,1.0,9.95,520,25,2016,7,9.95,2,2010,12,2,4
27425,906,1296,8.0,1.25,188,25,1697,7,1.25,2,2010,12,13,1
39648,1342,1743,12.0,1.25,1123,25,702,7,1.25,0,2010,12,21,2
70321,2119,2313,72.0,3.39,692,25,1519,9,3.39,0,2011,1,25,2
31143,1039,536,2.0,4.25,190,25,631,7,4.25,1,2010,12,15,3
44262,1452,868,12.0,0.42,193,25,148,7,0.42,1,2011,1,5,3
50155,1624,1220,4.0,4.95,51,22,717,3,4.95,1,2011,1,10,1
23450,801,967,1.0,2.1,788,25,439,7,2.1,2,2010,12,10,5
14456,524,2290,4.0,12.75,76,9,2169,7,12.75,2,2010,12,7,2
30497,1022,244,6.0,0.65,1285,25,1492,7,0.65,1,2010,12,14,2
5189,257,252,1.0,0.85,520,25,1491,11,0.85,2,2010,12,2,4
41549,1386,999,12.0,1.25,399,25,893,7,1.25,1,2010,12,23,4
26675,889,957,30.0,0.85,502,25,1451,7,0.85,2,2010,12,12,0
7966,337,694,2.0,4.95,1092,25,909,7,4.95,2,2010,12,5,0
7720,327,1497,1.0,3.75,784,25,12,7,3.75,2,2010,12,5,0
26104,873,1311,1.0,0.42,547,25,1915,7,0.42,2,2010,12,12,0
67969,2050,852,6.0,0.29,234,25,999,7,0.29,1,2011,1,23,0
5267,263,601,24.0,1.25,262,25,1089,7,1.25,2,2010,12,3,5
46714,1511,2084,24.0,2.1,196,25,1150,7,2.1,0,2011,1,6,4
3462,152,2393,10.0,1.95,468,25,69,11,1.95,2,2010,12,2,4
31767,1074,998,2.0,2.95,616,25,1357,1,2.95,2,2010,12,15,3
69729,2100,566,12.0,0.42,17,22,863,7,0.42,1,2011,1,24,1
51205,1646,1491,24.0,0.42,392,25,317,7,0.42,0,2011,1,10,1
30336,1015,1495,24.0,3.45,965,25,1943,7,3.45,2,2010,12,14,2
29901,992,2192,12.0,1.95,454,25,1893,12,1.95,0,2010,12,14,2
41605,2744,1547,-1.0,9.95,517,25,2016,7,9.95,0,2010,12,23,4
66303,2017,1556,4.0,5.95,400,25,1954,9,5.95,0,2011,1,21,5
26302,879,631,4.0,2.1,849,25,1690,7,2.1,2,2010,12,12,0
4537,216,2025,6.0,2.55,1288,25,2249,13,2.55,2,2010,12,2,4
48595,1562,1730,12.0,1.45,37,22,1078,7,1.45,0,2011,1,7,5
19311,665,775,12.0,1.25,1157,25,1498,7,1.25,2,2010,12,8,3
52423,2813,1493,-1.0,4.95,662,25,277,7,4.95,0,2011,1,11,2
68818,2071,656,12.0,0.85,56,9,2255,7,0.85,1,2011,1,24,1
63248,1944,2394,10.0,1.95,627,25,62,0,1.95,0,2011,1,19,3
25593,855,1672,1.0,0.85,416,25,1377,11,0.85,2,2010,12,12,0
31748,1074,898,4.0,1.45,616,25,466,7,1.45,2,2010,12,15,3
78363,2413,1216,2.0,3.75,935,25,2204,3,3.75,1,2011,2,1,2
61615,1908,385,24.0,0.55,3,20,1389,7,0.55,1,2011,1,18,2
57643,1820,994,4.0,8.5,461,25,1085,13,8.5,1,2011,1,14,5
34435,1233,1493,6.0,4.95,571,25,277,7,4.95,0,2010,12,17,5
